Course Name,Course Description
Financial Accounting,"""This course acquaints students with the process used to construct and understand the financial reports of organizations. The objective is to understand the decisions that must be made in the financial reporting process and to develop the ability to evaluate and use accounting data. Emphasis is placed on understanding the breadth of accounting measurement practices and on being able to make the adjustments necessary for careful analysis. The course highlights the linkages between accounting information and management planning, and decision making and control.\r\n\r\nCourse sections that end in \""H\"" will be taught in a format that combines the convenience and flexibility of online learning with the social and instructional benefits of face-to-face classroom experiences. Online sessions are conducted synchronously with classmates and faculty."""
Managerial Accounting,"""This course covers firms\u0027 internal accounting systems and the information used within organizations for decision-making. It is essential for those students who plan to obtain a management role, work in consulting, or start their own company. The course is organized around the extensive uses of these internal accounting data. The course first covers the fundamentals of assessing the cost of producing a product, providing a service, or servicing a customer. It then moves to addressing issues, such as overhead allocation and shared costs, that can have significant effects on the calculation of product- and divisional-level profitability and managerial decision-making. In the second half of the course, forecasting and monitoring of results are covered, including a discussion of performance evaluation and transfer pricing issues surrounding the location of people and operations. The course is a combination of lecture and case-based discussions, with group cases and an individual in-class midterm and final exam."""
Turbo Accounting,"""An accelerated version of the core accounting course (430), intended for students with recent exposure to accounting principles.  In contrast to 430, this course assumes students already have a working knowledge of the journal entry process. The course explores the principles of financial accounting and the structure and meaning of financial statements and footnote disclosures.  The additional time made available by not covering the journal entry process allows for an in-depth study of many financial reporting issues, and for extra coverage of current financial accounting topics."""
MBAi Financial Accounting,""""""
Financial Planning for Mergers & Acquisitions,"""Many companies are able to identify potential merger partners where combinations can result in significant synergies or value creation, but less than half are able to execute the merger to claim the value created. This course provides the technical knowledge necessary to identify targets as well as prepare business and law practitioners for their future collaborations in the mergers and acquisitions field. The course is offered jointly by the Kellogg School of Management and the Northwestern Law School and is primarily targeted for those interested in planning, analyzing, executing, or facilitating corporate acquisitions. Topics include: economics of mergers and acquisitions, securities law and antitrust regulation, financial reporting issues, tax implications, and economic and legal considerations."""
Financial Reporting and Analysis,"""This course provides a study of current practices in corporate financial reporting and fundamental issues relating to asset valuation and income determination. The emphasis is on financial statement analysis and interpretation of existing financial disclosures. The course stresses critical analyses of financial reporting numbers as a basis for improved risk assessment and cash flow forecasting. Cases are used extensively to enhance relevance."""
Issues in Financial Reporting,"""This course differs from traditional financial accounting classes in that the material is organized according to five broad themes, with particular accounting topics (revenue recognition, lease accounting, etc.) brought in only to the extent that they help elucidate one of the themes. The five themes are: governance and control; quality of earnings; quality of cash flows; consolidation and scope of reporting; fair value reporting and appraisal.\r\n\r\nEach of these themes contain material in which a large portion of Kellogg students would have an interest. For instance, how boards choose non-GAAP metrics; executive compensation contracts (governance and control); how to assess recurring vs. non-recurring profitability (quality of earnings); the sustainability of cash flows (quality of cash flows); the degree of control of a foreign subsidiary or JV (scope of reporting); the valuation of marketing intangibles, such as brands (fair value reporting).\r\n\r\nFormal lectures end in Week 9. Week 10 is reserved for group project presentations. An online version of the Week 9 class will be available for students whose summer internships start before the end of the quarter."""
Global Financial Management and Reporting,"""Designing and executing a global financial strategy is one of the most important duties of senior managers in international organizations. This class will use a mixture of cases and lectures to prepare students to work in this area. Specific topical areas covered will include international taxation and reporting, governance and stewardship in foreign environments, and cross-border financial management. The business questions raised by our exploration of these areas, particularly those related to international taxation, are among the most widely discussed in the business world."""
ESG Investing and Sustainability Reporting,"""This course introduces students to ESG investing and sustainability reporting. It is an exercise to bridge the gap in traditional financial reporting and fundamental analysis, and to provide a new view on how a firm\u0027s social and environmental performance are related to firm value. Through cases, interactions with guest speakers, and a group research project, students will learn about how firms communicate ESG information, how data vendors and analysts analyze ESG information to build sustainability-related metrics, how investors use them to make portfolio decisions, and most importantly, how to overcome some of the associated challenges."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Independent Study,"""Students who have established superior records and who wish to study some significant phase of accounting in more depth than is provided in regular courses may register for independent study with a selected instructor. Permission of both the instructor and the department chair is required"""
Independent Study,"""Half Credit. Students who have established superior records and who wish to study some significant phase of accounting in more depth than is provided in regular courses may register for independent study with a selected instructor. Permission of both the instructor and the department chair is required"""
Special Topics in Empirical Accounting Research,"""Part I: Students will be introduced to research studies that examine unstructured data (e.g., textual) and/or use non-traditional research methods (e.g., machine learning).  We will focus primarily on popular textual measures (e.g., sentiment, readability, and similarity) and machine learning methods (e.g., Na\u0026#239;ve Bayes and Support Vector Machines). The focus will be both on learning the underlying techniques, as well as developing an understanding of the relevant economic contexts in which to apply them to accounting questions.  \r\nPart II: This part of the course will focus on current empirical techniques used in archival accounting research. The focus will be on research design and identification issues in the context of recent and evolving research on disclosure, information processing costs and real effects of reporting and disclosure."""
Empirical Research in Accounting I,"""Students will become acquainted with research questions, methodologies, and findings of empirical research on the implications of accounting information for capital markets through journal readings, replications of existing research, and a final exam. The goal is for students to develop skills in issue identification and research design that can be used to do research and to evaluate research of others."""
Empirical Research in Accounting II,"""This course focuses on examining and evaluating the economic arguments underpinning capital-markets based, empirical accounting research. The course includes discussion and critical assessment of research designs and statistical methods used by accounting researchers with a focus on the appropriateness of the research question. Students are responsible for presenting research papers and preparing a final research proposal."""
Empirical Research in Accounting III,"""Students will be introduced to research studies that examine unstructured data (e.g., textual) and/or use non-traditional research methods (e.g., machine learning). This will include research in economics, finance, and marketing as well as accounting.  We will focus primarily on popular textual measures (e.g., sentiment, readability, and similarity) and machine learning methods (e.g., NaÃ¯ve Bayes and Support Vector Machines).  The focus will be both on learning the underlying techniques, as well as developing an understanding of the relevant economic contexts in which to apply them to accounting questions."""
Research in Accounting Theory I,"""This course provides an introduction to contemporary research in financial accounting theory and is designed for PhD students in Accounting, Economics, and related disciplines. The course analyzes models of voluntary and mandatory disclosures, the design of accounting standards, income measurement, earnings management, and auditing."""
Research in Accounting Theory II,"""Students study economic models of financial reporting and disclosure together with the economics of accounting standards. The course includes study of the linkages among financial accounting, managerial accounting and auditing. Students learn to evaluate the existing models in the literature and to construct basic models of their own."""
Research,"""Independent investigation of selected problems pertaining to thesis or dissertation. May be repeated for credit."""
Accounting General Credit,"""Accounting General Credit"""
Business Law,"""This course is a survey of the  legal concepts that managers and entrepreneurs will be exposed to in public, private, and non-profit enterprises. It is neither  a surrogate for a law school course ( as such the course is not open to law or JD/MBA students) nor  does it  delve into procedural subjects, (e.g. the rules of civil procedure or evidence). Rather, the students will learn the fundamentals of torts (negligence and intentional), agency, product liability, antitrust, contracts, intellectual property, corporate governance and white collar criminal law (e.g. Foreign Corrupt Practices Act). The course content is delivered through lectures, class discussion, study of the case book, and weekly assignments. While 10% of the final grade is determined by the weekly assignments, the remaining portion of the final grade will be assessed in a three-hour, closed book, final essay exam. (There is no formal  group work in this class).  Other than KPPI 952 and BL 437, there is no other course that delves into the issues that will be covered in BL 435."""
